nome,partido,votos,votos_validos,total_votos,turno,ano,id_poder_360
Luiz Inacio Lula da Silva,PT,46662365,95996733,104820459,1,2006,973
Geraldo José Rodrigues Alckmin Filho,PSDB,39968369,95996733,104820459,1,2006,575
Heloísa Helena Lima de Moraes Carvalho,PSOL,6575393,95996733,104820459,1,2006,645
Cristovam Ricardo Cavalcanti Buarque,PDT,2538844,95996733,104820459,1,2006,327
Ana Maria Teixeira Rangel,PRP,126404,95996733,104820459,1,2006,97
José Maria Eymael ,PSDC,63294,95996733,104820459,1,2006,806
Luciano Caldas Bivar,PSL,62064,95996733,104820459,1,2006,938
Luiz Inacio Lula da Silva,PT,58295042,95838220,101998221,2,2006,973
Geraldo José Rodrigues Alckmin Filho,PSDB,37543178,95838220,101998221,2,2006,575
Heloísa Helena Lima de Moraes Carvalho,PSOL,,,,2,2006,645
Cristovam Ricardo Cavalcanti Buarque,PDT,,,,2,2006,327
Ana Maria Teixeira Rangel,PRP,,,,2,2006,97
José Maria Eymael ,PSDC,,,,2,2006,806
Luciano Caldas Bivar,PSL,,,,2,2006,938
DILMA VANA ROUSSEFF,PT,47651434,101590153,111193747,1,2010,361
JOSÉ SERRA,PSDB,33132283,102590153,112193747,1,2010,824
MARIA OSMARINA MARINA DA SILVA VAZ DE LIMA,PV,19636359,103590153,113193747,1,2010,1076
PLÍNIO SOARES DE ARRUDA SAMPAIO,PSOL,886816,104590153,114193747,1,2010,1318
JOSE MARIA EYMAEL,PSDC,89350,105590153,115193747,1,2010,806
JOSÉ MARIA DE ALMEIDA,PSTU,84609,106590153,116193747,1,2010,1721
JOSE LEVY FIDELIX DA CRUZ,PRTB,57960,107590153,117193747,1,2010,917
IVAN MARTINS PINHEIRO,PCB,39136,108590153,118193747,1,2010,690
RUI COSTA PIMENTA,PCO,12206,109590153,119193747,1,2010,1508
MARIA OSMARINA MARINA DA SILVA VAZ DE LIMA,PV,,,,2,2010,1076
PLÍNIO SOARES DE ARRUDA SAMPAIO,PSOL,,,,2,2010,1318
JOSE MARIA EYMAEL,PSDC,,,,2,2010,806
JOSÉ MARIA DE ALMEIDA,PSTU,,,,2,2010,1721
JOSE LEVY FIDELIX DA CRUZ,PRTB,,,,2,2010,917
IVAN MARTINS PINHEIRO,PCB,,,,2,2010,690
RUI COSTA PIMENTA,PCO,,,,2,2010,1508
DILMA VANA ROUSSEFF,PT,55752529,99463917,106606214,2,2010,361
JOSÉ SERRA,PSDB,43711388,99463917,106606214,2,2010,824
Dilma Rousseff,PT,43267668,104023543,115122611,1,2014,361
Aécio Neves,PSDB,34897211,104023543,115122611,1,2014,176
Marina Silva,PSB,22176619,104023543,115122611,1,2014,1076
Luciana Genro,PSOL,1612186,104023543,115122611,1,2014,932
Pastor Everaldo,PSC,780513,104023543,115122611,1,2014,1253
